,date,state,death,case,hosp
0,2022/02/21,TX,83883,6528752,393.0
1,2022/02/22,TX,84080,6535366,532.0
2,2022/02/23,TX,84319,6540776,511.0
3,2022/02/24,TX,84561,6547068,445.0
4,2022/02/25,TX,84739,6555122,346.0
5,2022/02/26,TX,84876,6559563,378.0
6,2022/02/27,TX,84945,6560468,351.0
7,2022/02/28,TX,85000,6564429,293.0
8,2022/03/01,TX,85143,6565659,352.0
9,2022/03/02,TX,85346,6569669,345.0
10,2022/03/03,TX,85461,6573893,339.0
11,2022/03/04,TX,85695,6577872,302.0
12,2022/03/05,TX,85793,6581796,302.0
13,2022/03/06,TX,85835,6582314,250.0
14,2022/03/07,TX,85878,6585830,234.0
15,2022/03/08,TX,85991,6590759,255.0
16,2022/03/09,TX,86117,6595895,229.0
17,2022/03/10,TX,86266,6601706,237.0
18,2022/03/11,TX,86366,6609865,234.0
19,2022/03/12,TX,86455,6612985,220.0
20,2022/03/13,TX,86491,6614096,167.0
21,2022/03/14,TX,86518,6615549,153.0
22,2022/03/15,TX,86589,6618765,228.0
23,2022/03/16,TX,86687,6621684,177.0
24,2022/03/17,TX,86806,6626526,200.0
25,2022/03/18,TX,86879,6629741,174.0
26,2022/03/19,TX,86938,6631177,172.0
27,2022/03/20,TX,86942,6633345,145.0
28,2022/03/21,TX,86987,6635291,123.0
29,2022/03/22,TX,87045,6640527,160.0
30,2022/03/23,TX,87120,6652826,153.0
31,2022/03/24,TX,87185,6658957,153.0
32,2022/03/25,TX,87244,6663211,145.0
33,2022/03/26,TX,87304,6668081,152.0
34,2022/03/27,TX,87328,6668425,134.0
35,2022/03/28,TX,87343,6669109,113.0
36,2022/03/29,TX,87393,6674412,128.0
37,2022/03/30,TX,87452,6676944,127.0
38,2022/03/31,TX,87507,6680558,136.0
39,2022/04/01,TX,87549,6683298,101.0
40,2022/04/02,TX,87580,6686081,132.0
41,2022/04/03,TX,87594,6686993,115.0
42,2022/04/04,TX,87615,6689455,91.0
43,2022/04/05,TX,87649,6692587,135.0
44,2022/04/06,TX,87696,6695271,111.0
45,2022/04/07,TX,87735,6699333,106.0
46,2022/04/08,TX,87747,6701915,118.0
47,2022/04/09,TX,87796,6704471,110.0
48,2022/04/10,TX,87796,6705343,94.0
49,2022/04/11,TX,87801,6707059,100.0
50,2022/04/12,TX,87843,6709497,93.0
51,2022/04/13,TX,87875,6712724,103.0
52,2022/04/14,TX,87896,6715756,108.0
53,2022/04/15,TX,87986,6715806,114.0
54,2022/04/16,TX,87986,6715806,96.0
55,2022/04/17,TX,87986,6715806,85.0
56,2022/04/18,TX,88030,6721826,79.0
57,2022/04/19,TX,88079,6725205,116.0
58,2022/04/20,TX,88121,6727842,101.0
59,2022/04/21,TX,88144,6730659,112.0
60,2022/04/22,TX,88199,6734367,108.0
61,2022/04/23,TX,88206,6736643,99.0
62,2022/04/24,TX,88210,6737753,87.0
63,2022/04/25,TX,88214,6738996,74.0
64,2022/04/26,TX,88234,6741552,104.0
65,2022/04/27,TX,88250,6744065,110.0
66,2022/04/28,TX,88274,6746780,101.0
67,2022/04/29,TX,88291,6749603,108.0
68,2022/04/30,TX,88303,6752149,82.0
69,2022/05/01,TX,88305,6753627,73.0
70,2022/05/02,TX,88311,6756246,111.0
71,2022/05/03,TX,88324,6758486,134.0
72,2022/05/04,TX,88334,6761264,93.0
73,2022/05/05,TX,88346,6765736,108.0
74,2022/05/06,TX,88363,6768665,118.0
75,2022/05/07,TX,88375,6771391,93.0
76,2022/05/08,TX,88376,6773157,86.0
77,2022/05/09,TX,88377,6775617,98.0
78,2022/05/10,TX,88391,6778536,107.0
79,2022/05/11,TX,88414,6781837,129.0
80,2022/05/12,TX,88425,6786105,115.0
81,2022/05/13,TX,88439,6791937,123.0
82,2022/05/14,TX,88446,6794907,109.0
83,2022/05/15,TX,88450,6796987,100.0
84,2022/05/16,TX,88452,6799028,117.0
85,2022/05/17,TX,88462,6802180,152.0
86,2022/05/18,TX,88477,6807050,124.0
87,2022/05/19,TX,88496,6811933,149.0
88,2022/05/20,TX,88507,6816947,132.0
89,2022/05/21,TX,88510,6821184,142.0
90,2022/05/22,TX,88513,6825199,146.0
91,2022/05/23,TX,88519,6829709,142.0
92,2022/05/24,TX,88521,6833576,164.0
93,2022/05/25,TX,88537,6838206,178.0
94,2022/05/26,TX,88542,6843822,153.0
95,2022/05/27,TX,88553,6849192,188.0
96,2022/05/28,TX,88553,6849192,190.0
97,2022/05/29,TX,88553,6849192,183.0
98,2022/05/30,TX,88553,6849192,216.0
99,2022/05/31,TX,88569,6868584,183.0
100,2022/06/01,TX,88572,6873618,219.0
101,2022/06/02,TX,88580,6880508,190.0
102,2022/06/03,TX,88591,6887992,216.0
103,2022/06/04,TX,88596,6895024,222.0
104,2022/06/05,TX,88599,6900779,187.0
105,2022/06/06,TX,88602,6906459,200.0
106,2022/06/07,TX,88615,6912227,288.0
107,2022/06/08,TX,88626,6919438,255.0
108,2022/06/09,TX,88652,6927664,263.0
109,2022/06/10,TX,88668,6934174,281.0
110,2022/06/11,TX,88676,6941071,279.0
111,2022/06/12,TX,88678,6946507,248.0
112,2022/06/13,TX,88684,6954222,261.0
113,2022/06/14,TX,88690,6961462,300.0
114,2022/06/15,TX,88707,6968345,313.0
115,2022/06/16,TX,88713,6976498,342.0
116,2022/06/17,TX,88727,6982684,306.0
117,2022/06/18,TX,88730,6987779,308.0
118,2022/06/19,TX,88742,6991344,315.0
119,2022/06/20,TX,88742,6994478,296.0
120,2022/06/21,TX,88760,7012526,326.0
121,2022/06/22,TX,88775,7020325,370.0
122,2022/06/23,TX,88794,7031682,378.0
123,2022/06/24,TX,88808,7043184,426.0
124,2022/06/25,TX,88826,7052334,395.0
125,2022/06/26,TX,88827,7061532,375.0
126,2022/06/27,TX,88838,7071372,354.0
127,2022/06/28,TX,88848,7081610,411.0
128,2022/06/29,TX,88873,7092029,466.0
129,2022/06/30,TX,88901,7105390,486.0
130,2022/07/01,TX,88923,7118332,425.0
131,2022/07/02,TX,88923,7118332,439.0
132,2022/07/03,TX,88923,7118332,395.0
133,2022/07/04,TX,88923,7118682,411.0
134,2022/07/05,TX,88952,7155214,476.0
135,2022/07/06,TX,88975,7164664,492.0
136,2022/07/07,TX,88997,7176272,492.0
